City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Genhe,50.7833,121.5167,23.18,63,0,2.44,CN,2022-10-26 16:25:12
1,Fortuna,40.5982,-124.1573,47.93,93,0,4.61,US,2022-10-26 16:25:13
2,Avarua,-21.2078,-159.775,64.45,94,75,1.14,CK,2022-10-26 16:25:13
3,Mount Isa,-20.7333,139.5,69.57,100,67,0.0,AU,2022-10-26 16:25:14
4,Alofi,-19.0595,-169.9187,69.69,94,100,4.61,NU,2022-10-26 16:25:14
5,Georgetown,5.4112,100.3354,79.23,94,40,2.3,MY,2022-10-26 16:25:13
6,Carnarvon,-24.8667,113.6333,66.51,70,0,24.36,AU,2022-10-26 16:25:15
7,Kahului,20.8947,-156.47,77.85,84,20,10.36,US,2022-10-26 16:25:15
8,Provideniya,64.3833,-173.3,18.34,87,12,7.74,RU,2022-10-26 16:25:16
9,Tamiahua,21.2667,-97.45,74.59,59,97,6.93,MX,2022-10-26 16:25:17
10,Carutapera,-1.195,-46.02,87.58,53,100,10.49,BR,2022-10-26 16:25:17
11,Shu,43.5983,73.7614,52.05,73,100,7.85,KZ,2022-10-26 16:25:18
12,Amapa,1.0,-52.0,86.14,54,100,3.89,BR,2022-10-26 16:25:19
13,Korla,41.7597,86.1469,55.71,32,100,3.65,CN,2022-10-26 16:25:19
14,Mar Del Plata,-38.0023,-57.5575,63.09,95,100,10.36,AR,2022-10-26 16:25:21
15,Flinders,-34.5833,150.8552,68.18,68,24,11.99,AU,2022-10-26 16:25:21
16,Punta Arenas,-53.15,-70.9167,53.62,54,40,40.29,CL,2022-10-26 16:25:24
17,Zyryanka,65.75,150.85,19.83,89,100,13.82,RU,2022-10-26 16:25:24
18,Maceio,-9.6658,-35.7353,83.64,69,75,13.8,BR,2022-10-26 16:24:13
19,Coahuayana,18.7333,-103.6833,85.17,69,37,1.88,MX,2022-10-26 16:25:26
20,Huichapan,20.3833,-99.65,69.24,56,1,3.42,MX,2022-10-26 16:25:27
21,Rikitea,-23.1203,-134.9692,73.0,83,97,16.31,PF,2022-10-26 16:25:27
22,Hilo,19.7297,-155.09,73.62,88,75,4.61,US,2022-10-26 16:25:28
23,Busselton,-33.65,115.3333,51.78,66,75,10.58,AU,2022-10-26 16:25:28
24,Deep River,46.1001,-77.4995,61.95,72,99,10.33,CA,2022-10-26 16:25:31
25,Hithadhoo,-0.6,73.0833,82.81,74,99,13.15,MV,2022-10-26 16:25:31
26,Zabol,32.25,67.25,59.59,26,16,10.74,AF,2022-10-26 16:25:32
27,Puerto Ayora,-0.7393,-90.3518,73.36,97,96,8.99,EC,2022-10-26 16:25:32
28,Podgornoye,51.735,39.1496,43.02,93,100,11.18,RU,2022-10-26 16:25:34
29,Los Andes,-32.8337,-70.5983,70.02,24,0,7.38,CL,2022-10-26 16:25:35
